Subject,Case,Value,CaseName
1,1,64.5833333333333,PP-S+
2,1,62.9166666666667,PP-S+
3,1,60,PP-S+
4,1,73.3333333333333,PP-S+
5,1,75,PP-S+
6,1,63.3333333333333,PP-S+
7,1,52.5,PP-S+
8,1,68.75,PP-S+
9,1,81.6666666666667,PP-S+
10,1,53.3333333333333,PP-S+
1,2,51.6666666666667,AP-S+
2,2,60.8333333333333,AP-S+
3,2,61.6666666666667,AP-S+
4,2,67.0833333333333,AP-S+
5,2,62.9166666666667,AP-S+
6,2,63.75,AP-S+
7,2,60.4166666666667,AP-S+
8,2,65,AP-S+
9,2,72.5,AP-S+
10,2,50,AP-S+
1,3,55.4166666666667,UP-S+
2,3,50,UP-S+
3,3,64.1666666666667,UP-S+
4,3,56.6666666666667,UP-S+
5,3,60,UP-S+
6,3,65.4166666666667,UP-S+
7,3,54.1666666666667,UP-S+
8,3,64.1666666666667,UP-S+
9,3,67.5,UP-S+
10,3,55.8333333333333,UP-S+
