Subject,Case,Value,CaseName
1,1,71.25,PP-S+
2,1,77.0833333333333,PP-S+
3,1,78.75,PP-S+
4,1,77.9166666666667,PP-S+
5,1,75,PP-S+
6,1,79.5833333333333,PP-S+
7,1,72.0833333333333,PP-S+
8,1,77.5,PP-S+
9,1,73.3333333333333,PP-S+
10,1,74.1666666666667,PP-S+
11,1,76.25,PP-S+
12,1,78.3333333333333,PP-S+
13,1,78.3333333333333,PP-S+
14,1,77.0833333333333,PP-S+
15,1,74.1666666666667,PP-S+
16,1,77.9166666666667,PP-S+
17,1,76.6666666666667,PP-S+
18,1,79.1666666666667,PP-S+
19,1,75.4166666666667,PP-S+
20,1,80.4166666666667,PP-S+
1,2,73.3333333333333,AP-S+
2,2,71.6666666666667,AP-S+
3,2,76.25,AP-S+
4,2,80.4166666666667,AP-S+
5,2,71.25,AP-S+
6,2,79.1666666666667,AP-S+
7,2,74.5833333333333,AP-S+
8,2,68.3333333333333,AP-S+
9,2,70.4166666666667,AP-S+
10,2,73.75,AP-S+
11,2,72.9166666666667,AP-S+
12,2,73.3333333333333,AP-S+
13,2,71.25,AP-S+
14,2,71.6666666666667,AP-S+
15,2,64.5833333333333,AP-S+
16,2,78.3333333333333,AP-S+
17,2,79.1666666666667,AP-S+
18,2,76.6666666666667,AP-S+
19,2,70,AP-S+
20,2,70,AP-S+
1,3,75,UP-S+
2,3,73.75,UP-S+
3,3,74.1666666666667,UP-S+
4,3,77.9166666666667,UP-S+
5,3,72.0833333333333,UP-S+
6,3,76.6666666666667,UP-S+
7,3,75.4166666666667,UP-S+
8,3,67.9166666666667,UP-S+
9,3,70,UP-S+
10,3,74.1666666666667,UP-S+
11,3,74.5833333333333,UP-S+
12,3,72.0833333333333,UP-S+
13,3,75.8333333333333,UP-S+
14,3,78.3333333333333,UP-S+
15,3,76.25,UP-S+
16,3,71.25,UP-S+
17,3,70.4166666666667,UP-S+
18,3,73.75,UP-S+
19,3,73.3333333333333,UP-S+
20,3,73.3333333333333,UP-S+
