Subject,Case,Value,CaseName
1,1,87.0833333333333,PP-S+
2,1,85.4166666666667,PP-S+
3,1,86.25,PP-S+
4,1,88.3333333333333,PP-S+
5,1,80,PP-S+
6,1,82.9166666666667,PP-S+
7,1,87.5,PP-S+
8,1,87.0833333333333,PP-S+
9,1,85.4166666666667,PP-S+
10,1,86.25,PP-S+
1,2,83.3333333333333,AP-S+
2,2,80,AP-S+
3,2,85.8333333333333,AP-S+
4,2,85.4166666666667,AP-S+
5,2,77.5,AP-S+
6,2,79.1666666666667,AP-S+
7,2,82.0833333333333,AP-S+
8,2,87.0833333333333,AP-S+
9,2,81.25,AP-S+
10,2,80.4166666666667,AP-S+
1,3,81.25,UP-S+
2,3,80.8333333333333,UP-S+
3,3,83.3333333333333,UP-S+
4,3,81.25,UP-S+
5,3,81.25,UP-S+
6,3,82.5,UP-S+
7,3,85,UP-S+
8,3,77.5,UP-S+
9,3,82.0833333333333,UP-S+
10,3,85,UP-S+
