Subject,Case,Value,CaseName
1,1,74.1666666666667,PP-S+
2,1,60.8333333333333,PP-S+
3,1,58.3333333333333,PP-S+
4,1,61.6666666666667,PP-S+
5,1,60.4166666666667,PP-S+
6,1,61.25,PP-S+
7,1,54.1666666666667,PP-S+
8,1,66.6666666666667,PP-S+
9,1,64.5833333333333,PP-S+
10,1,54.5833333333333,PP-S+
1,2,61.25,AP-S+
2,2,58.3333333333333,AP-S+
3,2,59.5833333333333,AP-S+
4,2,58.75,AP-S+
5,2,53.75,AP-S+
6,2,57.9166666666667,AP-S+
7,2,57.0833333333333,AP-S+
8,2,57.9166666666667,AP-S+
9,2,60.4166666666667,AP-S+
10,2,55.8333333333333,AP-S+
1,3,68.3333333333333,UP-S+
2,3,64.5833333333333,UP-S+
3,3,60.8333333333333,UP-S+
4,3,51.25,UP-S+
5,3,59.5833333333333,UP-S+
6,3,61.25,UP-S+
7,3,54.5833333333333,UP-S+
8,3,60,UP-S+
9,3,59.1666666666667,UP-S+
10,3,54.1666666666667,UP-S+
