Subject,Case,Value,CaseName
1,1,56.6666666666667,PP-S+
2,1,64.1666666666667,PP-S+
3,1,60,PP-S+
4,1,63.75,PP-S+
5,1,64.1666666666667,PP-S+
6,1,66.6666666666667,PP-S+
7,1,60.4166666666667,PP-S+
8,1,67.9166666666667,PP-S+
9,1,62.9166666666667,PP-S+
10,1,60,PP-S+
11,1,62.5,PP-S+
12,1,59.5833333333333,PP-S+
13,1,60,PP-S+
14,1,67.5,PP-S+
15,1,65.4166666666667,PP-S+
16,1,62.0833333333333,PP-S+
17,1,65.4166666666667,PP-S+
18,1,61.6666666666667,PP-S+
19,1,68.3333333333333,PP-S+
20,1,58.75,PP-S+
1,2,52.5,AP-S+
2,2,57.5,AP-S+
3,2,52.9166666666667,AP-S+
4,2,60.8333333333333,AP-S+
5,2,64.5833333333333,AP-S+
6,2,56.25,AP-S+
7,2,54.5833333333333,AP-S+
8,2,57.9166666666667,AP-S+
9,2,56.6666666666667,AP-S+
10,2,61.6666666666667,AP-S+
11,2,58.75,AP-S+
12,2,57.0833333333333,AP-S+
13,2,53.3333333333333,AP-S+
14,2,64.5833333333333,AP-S+
15,2,55.8333333333333,AP-S+
16,2,57.5,AP-S+
17,2,63.3333333333333,AP-S+
18,2,57.9166666666667,AP-S+
19,2,53.75,AP-S+
20,2,56.6666666666667,AP-S+
1,3,51.25,UP-S+
2,3,60.8333333333333,UP-S+
3,3,59.5833333333333,UP-S+
4,3,50.8333333333333,UP-S+
5,3,60.4166666666667,UP-S+
6,3,61.6666666666667,UP-S+
7,3,57.5,UP-S+
8,3,60.4166666666667,UP-S+
9,3,55.8333333333333,UP-S+
10,3,61.6666666666667,UP-S+
11,3,57.5,UP-S+
12,3,63.3333333333333,UP-S+
13,3,57.0833333333333,UP-S+
14,3,66.6666666666667,UP-S+
15,3,57.5,UP-S+
16,3,56.25,UP-S+
17,3,53.75,UP-S+
18,3,51.25,UP-S+
19,3,58.75,UP-S+
20,3,61.6666666666667,UP-S+
