Subject,Case,Value,CaseName
1,1,171.293731440801,PP-S+
2,1,192.095741547655,PP-S+
3,1,197.802961871056,PP-S+
4,1,162.74369157416,PP-S+
5,1,182.73028851791,PP-S+
6,1,166.850275423936,PP-S+
7,1,198.458433940725,PP-S+
8,1,177.861852497336,PP-S+
9,1,183.503223979711,PP-S+
10,1,174.636738528905,PP-S+
1,2,171.787021590981,AP-S+
2,2,192.157313809776,AP-S+
3,2,197.987442731089,AP-S+
4,2,162.787763032,AP-S+
5,2,182.748018658012,AP-S+
6,2,167.056277504988,AP-S+
7,2,198.479955607243,AP-S+
8,2,177.89891745598,AP-S+
9,2,183.551526075461,AP-S+
10,2,174.696535474344,AP-S+
1,3,171.604465768593,UP-S+
2,3,192.093458485908,UP-S+
3,3,197.829287415663,UP-S+
4,3,162.806199286135,UP-S+
5,3,182.792569490595,UP-S+
6,3,166.960060965782,UP-S+
7,3,198.414578249298,UP-S+
8,3,177.923523846755,UP-S+
9,3,183.558575148997,UP-S+
10,3,174.563247417427,UP-S+
