Subject,Case,Value,CaseName
1,1,221.906529784846,PP-S+
2,1,232.42085210674,PP-S+
3,1,198.810025501734,PP-S+
4,1,218.584236383701,PP-S+
5,1,219.457648092648,PP-S+
6,1,213.72281498505,PP-S+
7,1,210.786055326802,PP-S+
8,1,237.24194260905,PP-S+
9,1,240.55839617722,PP-S+
10,1,206.713000125318,PP-S+
11,1,222.92154924045,PP-S+
12,1,205.345255424837,PP-S+
13,1,208.45198524219,PP-S+
14,1,215.845561001751,PP-S+
15,1,220.18766047808,PP-S+
16,1,191.123212836519,PP-S+
17,1,231.613023880927,PP-S+
18,1,237.084574448291,PP-S+
19,1,241.729235057691,PP-S+
20,1,208.866642184983,PP-S+
1,2,244.28569127365,AP-S+
2,2,253.626776564228,AP-S+
3,2,216.294197778973,AP-S+
4,2,240.400329675292,AP-S+
5,2,239.417413768138,AP-S+
6,2,230.501821472371,AP-S+
7,2,231.708742993486,AP-S+
8,2,257.566237628973,AP-S+
9,2,261.079343382915,AP-S+
10,2,223.977590607045,AP-S+
11,2,242.842116248028,AP-S+
12,2,227.233426436586,AP-S+
13,2,227.709561178218,AP-S+
14,2,235.762061444008,AP-S+
15,2,237.297146409407,AP-S+
16,2,208.513908168028,AP-S+
17,2,249.251339745257,AP-S+
18,2,259.220812972193,AP-S+
19,2,260.896821043778,AP-S+
20,2,228.359743539875,AP-S+
1,3,250.851587235685,UP-S+
2,3,259.278393734929,UP-S+
3,3,222.233568709506,UP-S+
4,3,247.590683149224,UP-S+
5,3,245.542427111187,UP-S+
6,3,235.576348382352,UP-S+
7,3,238.910530548645,UP-S+
8,3,265.383750245676,UP-S+
9,3,267.123324214766,UP-S+
10,3,229.214500689066,UP-S+
11,3,250.073926847771,UP-S+
12,3,233.982063947555,UP-S+
13,3,233.680522874749,UP-S+
14,3,241.620110449165,UP-S+
15,3,242.066839964335,UP-S+
16,3,214.682179331778,UP-S+
17,3,253.984847080963,UP-S+
18,3,266.666372842072,UP-S+
19,3,267.973868684434,UP-S+
20,3,232.44063949702,UP-S+
