Subject,Case,Value,CaseName
1,1,224.776912253875,PP-S+
2,1,184.696642670422,PP-S+
3,1,185.320615325874,PP-S+
4,1,211.68815612563,PP-S+
5,1,203.280003734129,PP-S+
6,1,198.877714844935,PP-S+
7,1,180.86893103407,PP-S+
8,1,224.530100564004,PP-S+
9,1,196.582658065546,PP-S+
10,1,208.283322834275,PP-S+
11,1,194.013314764032,PP-S+
12,1,228.674396397396,PP-S+
13,1,183.090453427057,PP-S+
14,1,181.699055957682,PP-S+
15,1,192.550476500975,PP-S+
16,1,208.013260689692,PP-S+
17,1,220.567382229308,PP-S+
18,1,204.729298991289,PP-S+
19,1,193.168905301172,PP-S+
20,1,182.493701757764,PP-S+
1,2,233.337851348571,AP-S+
2,2,196.072956545632,AP-S+
3,2,194.696461113506,AP-S+
4,2,220.245607909725,AP-S+
5,2,211.715734867439,AP-S+
6,2,208.82316039436,AP-S+
7,2,188.62366657872,AP-S+
8,2,233.560564669494,AP-S+
9,2,207.120818610728,AP-S+
10,2,218.554442981578,AP-S+
11,2,202.950093255104,AP-S+
12,2,240.215163501329,AP-S+
13,2,191.422302729604,AP-S+
14,2,189.738124600762,AP-S+
15,2,202.166342700709,AP-S+
16,2,218.723340946247,AP-S+
17,2,232.250534218786,AP-S+
18,2,213.112929982692,AP-S+
19,2,203.545508279962,AP-S+
20,2,190.831921382894,AP-S+
1,3,236.437490165909,UP-S+
2,3,199.405248507034,UP-S+
3,3,197.464677470501,UP-S+
4,3,222.969520704203,UP-S+
5,3,215.109555661725,UP-S+
6,3,211.904087822092,UP-S+
7,3,191.109278939837,UP-S+
8,3,235.950733684321,UP-S+
9,3,210.196213100002,UP-S+
10,3,222.297052519247,UP-S+
11,3,205.493968429236,UP-S+
12,3,243.887826144757,UP-S+
13,3,193.984706977718,UP-S+
14,3,192.825940992724,UP-S+
15,3,205.111501407206,UP-S+
16,3,222.219201948562,UP-S+
17,3,234.702998053574,UP-S+
18,3,215.921307189833,UP-S+
19,3,206.723679596664,UP-S+
20,3,193.268715737241,UP-S+
