Subject,Case,Value,CaseName
1,1,2182.98567917964,PP-S+
2,1,354.10405919677,PP-S+
3,1,367.829336388173,PP-S+
4,1,228.435540884151,PP-S+
5,1,288.654158566767,PP-S+
6,1,439.959950723753,PP-S+
7,1,204.946052489872,PP-S+
8,1,618.450147279293,PP-S+
9,1,348.439170772093,PP-S+
10,1,211.321792335786,PP-S+
1,2,2653.76012180348,AP-S+
2,2,342.461296321591,AP-S+
3,2,367.150599854441,AP-S+
4,2,233.664020846748,AP-S+
5,2,286.32203367457,AP-S+
6,2,435.588442819897,AP-S+
7,2,207.282173028114,AP-S+
8,2,612.45170489718,AP-S+
9,2,340.95487732879,AP-S+
10,2,212.900789208266,AP-S+
1,3,2564.97833205752,UP-S+
2,3,343.80387651437,UP-S+
3,3,378.655678654768,UP-S+
4,3,231.355605082479,UP-S+
5,3,282.043006726091,UP-S+
6,3,418.358972937828,UP-S+
7,3,205.269424867786,UP-S+
8,3,602.813900213503,UP-S+
9,3,363.896863922736,UP-S+
10,3,212.188633467,UP-S+
