Subject,Case,Value,CaseName
1,1,153.706842749004,PP-S+
2,1,199.007078844567,PP-S+
3,1,200.920872920185,PP-S+
4,1,193.285603251813,PP-S+
5,1,163.853221437152,PP-S+
6,1,161.880011535448,PP-S+
7,1,172.83099875308,PP-S+
8,1,186.075368383854,PP-S+
9,1,170.242350121231,PP-S+
10,1,164.510148926722,PP-S+
11,1,200.494094323674,PP-S+
12,1,173.574464652816,PP-S+
13,1,156.801148082155,PP-S+
14,1,176.896524144002,PP-S+
15,1,195.793141144001,PP-S+
16,1,162.431392131665,PP-S+
17,1,195.812110628242,PP-S+
18,1,172.710331830552,PP-S+
19,1,163.568551179975,PP-S+
20,1,186.49801293248,PP-S+
1,2,153.71416979458,AP-S+
2,2,199.158546867373,AP-S+
3,2,200.965445979658,AP-S+
4,2,193.300874842616,AP-S+
5,2,163.942644345765,AP-S+
6,2,161.92133868443,AP-S+
7,2,172.96629560432,AP-S+
8,2,186.146685440853,AP-S+
9,2,170.289768096222,AP-S+
10,2,164.602112731995,AP-S+
11,2,200.550443178371,AP-S+
12,2,173.62958542209,AP-S+
13,2,156.814511847047,AP-S+
14,2,177.032113541785,AP-S+
15,2,195.868512367904,AP-S+
16,2,162.471923992068,AP-S+
17,2,195.888621733418,AP-S+
18,2,172.714259982973,AP-S+
19,2,163.593265898238,AP-S+
20,2,186.53027561245,AP-S+
1,3,153.713534706281,UP-S+
2,3,199.230531031461,UP-S+
3,3,200.991468135054,UP-S+
4,3,193.320583843097,UP-S+
5,3,163.930570238316,UP-S+
6,3,161.95938242494,UP-S+
7,3,172.931161690429,UP-S+
8,3,186.165298568691,UP-S+
9,3,170.292203883436,UP-S+
10,3,164.582468936958,UP-S+
11,3,200.562344003484,UP-S+
12,3,173.704345518407,UP-S+
13,3,156.818112381177,UP-S+
14,3,177.019887220543,UP-S+
15,3,195.877743038683,UP-S+
16,3,162.453310992589,UP-S+
17,3,195.86161148087,UP-S+
18,3,172.71762614773,UP-S+
19,3,163.570788193865,UP-S+
20,3,186.516874533237,UP-S+
