Subject,Case,Value,CaseName
1,1,0.957274766348256,PP-S+
2,1,0.96715324275208,PP-S+
3,1,0.978408015203727,PP-S+
4,1,0.986535400137854,PP-S+
5,1,0.958896929211007,PP-S+
6,1,0.975555674691197,PP-S+
7,1,0.966118364381358,PP-S+
8,1,0.96752253123425,PP-S+
9,1,0.958534234445779,PP-S+
10,1,0.980378280376436,PP-S+
11,1,0.97690302590098,PP-S+
12,1,0.984299416803293,PP-S+
13,1,0.96171507350351,PP-S+
14,1,0.985137842216517,PP-S+
15,1,0.96763191933702,PP-S+
16,1,0.987071841561311,PP-S+
17,1,0.964721259849281,PP-S+
18,1,0.97179763093133,PP-S+
19,1,0.963482143680528,PP-S+
20,1,0.954980989280246,PP-S+
1,2,0.823404715044923,AP-S+
2,2,0.861035248034335,AP-S+
3,2,0.968922306167643,AP-S+
4,2,0.98698794066696,AP-S+
5,2,0.87724488842744,AP-S+
6,2,0.952057316124911,AP-S+
7,2,0.901082295348512,AP-S+
8,2,0.911826127951752,AP-S+
9,2,0.85470673969715,AP-S+
10,2,0.961508897116743,AP-S+
11,2,0.948892685467344,AP-S+
12,2,0.980123220983288,AP-S+
13,2,0.866633831393336,AP-S+
14,2,0.985264776343302,AP-S+
15,2,0.83436604049404,AP-S+
16,2,0.988417661537402,AP-S+
17,2,0.88931126938139,AP-S+
18,2,0.942752471912089,AP-S+
19,2,0.844976953202562,AP-S+
20,2,0.788781644160208,AP-S+
1,3,0.840968608342983,UP-S+
2,3,0.878052115451823,UP-S+
3,3,0.971264575390399,UP-S+
4,3,0.988449452171985,UP-S+
5,3,0.887876354238204,UP-S+
6,3,0.951552641674581,UP-S+
7,3,0.912387991026225,UP-S+
8,3,0.920707336760675,UP-S+
9,3,0.866258847746307,UP-S+
10,3,0.968755206123179,UP-S+
11,3,0.958236070765096,UP-S+
12,3,0.982360845103455,UP-S+
13,3,0.875704601213892,UP-S+
14,3,0.986334157278394,UP-S+
15,3,0.844535625435523,UP-S+
16,3,0.988432579761156,UP-S+
17,3,0.900214747478885,UP-S+
18,3,0.944950081875644,UP-S+
19,3,0.860256222665859,UP-S+
20,3,0.809134127898628,UP-S+
