Subject,Case,Value,CaseName
1,1,5.79015470371773,PP-S+
2,1,5.63458741219045,PP-S+
3,1,5.62876896004543,PP-S+
4,1,5.69352186132621,PP-S+
5,1,5.78080438421989,PP-S+
6,1,5.81751408808434,PP-S+
7,1,5.81623677677406,PP-S+
8,1,5.65803586697067,PP-S+
9,1,5.83312915798113,PP-S+
10,1,5.77418062829916,PP-S+
1,2,5.60453482498336,AP-S+
2,2,4.89864337542079,AP-S+
3,2,4.91377056772085,AP-S+
4,2,5.15206585374167,AP-S+
5,2,5.57263995760257,AP-S+
6,2,5.75388330799555,AP-S+
7,2,5.74193574889099,AP-S+
8,2,4.89630639109122,AP-S+
9,2,5.78192307921228,AP-S+
10,2,5.55402050253232,AP-S+
1,3,5.58617681577795,UP-S+
2,3,4.99729875144013,UP-S+
3,3,5.00488511029465,UP-S+
4,3,5.18005770990431,UP-S+
5,3,5.54474159879638,UP-S+
6,3,5.73715650408736,UP-S+
7,3,5.71623990011374,UP-S+
8,3,5.01031216905076,UP-S+
9,3,5.74528535045227,UP-S+
10,3,5.54813752413781,UP-S+
