Subject,Case,Value,CaseName
1,1,170.728850032398,PP-S+
2,1,164.913420830358,PP-S+
3,1,180.386307373886,PP-S+
4,1,181.908121657971,PP-S+
5,1,202.689985199928,PP-S+
6,1,181.759742904241,PP-S+
7,1,183.96287617756,PP-S+
8,1,189.727931635091,PP-S+
9,1,173.113508903787,PP-S+
10,1,179.683401426131,PP-S+
1,2,170.712997725203,AP-S+
2,2,164.799246132893,AP-S+
3,2,180.463477023953,AP-S+
4,2,182.082027631075,AP-S+
5,2,202.972582708045,AP-S+
6,2,181.885852963955,AP-S+
7,2,183.996291514471,AP-S+
8,2,189.80149117252,AP-S+
9,2,173.348945001224,AP-S+
10,2,179.683928069695,AP-S+
1,3,170.791260030992,UP-S+
2,3,164.868401206372,UP-S+
3,3,180.508509874393,UP-S+
4,3,182.195453822503,UP-S+
5,3,202.74643578979,UP-S+
6,3,181.942996827562,UP-S+
7,3,183.96000820606,UP-S+
8,3,189.606979940283,UP-S+
9,3,173.816248496355,UP-S+
10,3,179.661481405861,UP-S+
