Subject,Case,Value,CaseName
1,1,226.161098835656,PP-S+
2,1,235.360042575018,PP-S+
3,1,197.902406915042,PP-S+
4,1,220.144412272028,PP-S+
5,1,220.706351069721,PP-S+
6,1,211.717630428479,PP-S+
7,1,211.336650978492,PP-S+
8,1,235.814974824856,PP-S+
9,1,242.673094323221,PP-S+
10,1,209.908449903868,PP-S+
11,1,223.594303234804,PP-S+
12,1,207.059473560198,PP-S+
13,1,211.967683310723,PP-S+
14,1,216.220565379518,PP-S+
15,1,220.084259801585,PP-S+
16,1,190.39392042482,PP-S+
17,1,232.950871996027,PP-S+
18,1,242.062926032287,PP-S+
19,1,242.243686220601,PP-S+
20,1,211.870859530612,PP-S+
1,2,246.743630431531,AP-S+
2,2,254.203247639194,AP-S+
3,2,215.875120198284,AP-S+
4,2,240.705422675431,AP-S+
5,2,240.31276933413,AP-S+
6,2,228.988844262452,AP-S+
7,2,231.629735405978,AP-S+
8,2,259.907656856263,AP-S+
9,2,262.923957269678,AP-S+
10,2,223.963429003713,AP-S+
11,2,243.984302403772,AP-S+
12,2,226.486232163064,AP-S+
13,2,229.456979876929,AP-S+
14,2,235.2694819864,AP-S+
15,2,238.202863985362,AP-S+
16,2,209.458422022464,AP-S+
17,2,250.011552892614,AP-S+
18,2,260.350160724171,AP-S+
19,2,264.755061989997,AP-S+
20,2,230.505000284733,AP-S+
1,3,254.153860520722,UP-S+
2,3,263.569892066621,UP-S+
3,3,221.186697678402,UP-S+
4,3,246.631029924012,UP-S+
5,3,248.576395605824,UP-S+
6,3,235.807619383732,UP-S+
7,3,237.364454142712,UP-S+
8,3,266.18761329797,UP-S+
9,3,270.893789735543,UP-S+
10,3,230.278717487734,UP-S+
11,3,249.357272578149,UP-S+
12,3,234.120506576679,UP-S+
13,3,236.936384390692,UP-S+
14,3,242.038673290373,UP-S+
15,3,245.508478564748,UP-S+
16,3,213.993128583588,UP-S+
17,3,258.298948052851,UP-S+
18,3,265.701559292265,UP-S+
19,3,269.096358944046,UP-S+
20,3,240.640561182383,UP-S+
