Subject,Case,Value,CaseName
1,1,173.957484879245,PP-S+
2,1,210.791753063447,PP-S+
3,1,191.568287601474,PP-S+
4,1,0,PP-S+
5,1,176.156169220715,PP-S+
6,1,171.416188899062,PP-S+
7,1,201.59594527101,PP-S+
8,1,0,PP-S+
9,1,198.301446129191,PP-S+
10,1,172.096986385729,PP-S+
1,2,175.927351943619,AP-S+
2,2,210.452468254581,AP-S+
3,2,0,AP-S+
4,2,0,AP-S+
5,2,0,AP-S+
6,2,0,AP-S+
7,2,0,AP-S+
8,2,0,AP-S+
9,2,0,AP-S+
10,2,0,AP-S+
1,3,0,UP-S+
2,3,214.161642472654,UP-S+
3,3,196.213257001697,UP-S+
4,3,175.4021228319,UP-S+
5,3,0,UP-S+
6,3,175.952416963707,UP-S+
7,3,200.84924601045,UP-S+
8,3,183.552468213307,UP-S+
9,3,200.586006114139,UP-S+
10,3,179.367243024759,UP-S+
