Subject,Case,Value,CaseName
1,1,2438.5807928793,PP-S+
2,1,340.641821343853,PP-S+
3,1,359.010457038179,PP-S+
4,1,229.943818060024,PP-S+
5,1,292.063176243805,PP-S+
6,1,451.473977993061,PP-S+
7,1,206.613911118756,PP-S+
8,1,614.448482457689,PP-S+
9,1,360.829073392517,PP-S+
10,1,208.509206847189,PP-S+
1,2,2584.90553299931,AP-S+
2,2,338.93837329709,AP-S+
3,2,383.714666177938,AP-S+
4,2,226.359270234121,AP-S+
5,2,287.580415808044,AP-S+
6,2,460.907461952763,AP-S+
7,2,207.503592338252,AP-S+
8,2,632.588570449802,AP-S+
9,2,348.213989305171,AP-S+
10,2,211.722907044151,AP-S+
1,3,2669.01155317781,UP-S+
2,3,337.458448685694,UP-S+
3,3,401.087452743333,UP-S+
4,3,225.691895117091,UP-S+
5,3,281.977677259966,UP-S+
6,3,463.149699103613,UP-S+
7,3,206.831417851767,UP-S+
8,3,653.583080496068,UP-S+
9,3,349.702611893705,UP-S+
10,3,209.408566181378,UP-S+
