Subject,Case,Value,CaseName
1,1,153.711862353748,PP-S+
2,1,199.441063273866,PP-S+
3,1,201.002295829294,PP-S+
4,1,193.318466102542,PP-S+
5,1,163.956712240836,PP-S+
6,1,162.027302431944,PP-S+
7,1,173.01739002458,PP-S+
8,1,186.281764777354,PP-S+
9,1,170.262654329851,PP-S+
10,1,164.736219723294,PP-S+
11,1,200.653550573557,PP-S+
12,1,173.795151811293,PP-S+
13,1,156.818861491232,PP-S+
14,1,177.381149977441,PP-S+
15,1,195.96711793502,PP-S+
16,1,162.473640798853,PP-S+
17,1,195.885466902383,PP-S+
18,1,172.720075723192,PP-S+
19,1,163.631970726649,PP-S+
20,1,186.543233787809,PP-S+
1,2,153.712659788343,AP-S+
2,2,199.536379206689,AP-S+
3,2,201.030266494099,AP-S+
4,2,193.341703760434,AP-S+
5,2,164.008685221682,AP-S+
6,2,162.040781464978,AP-S+
7,2,173.027024531548,AP-S+
8,2,186.300323859216,AP-S+
9,2,170.327555086076,AP-S+
10,2,164.765043969574,AP-S+
11,2,200.687381018175,AP-S+
12,2,173.832409094254,AP-S+
13,2,156.837818821797,AP-S+
14,2,177.327026895708,AP-S+
15,2,195.917896536617,AP-S+
16,2,162.488520244457,AP-S+
17,2,195.903685560523,AP-S+
18,2,172.727537977653,AP-S+
19,2,163.688269569884,AP-S+
20,2,186.571355330803,AP-S+
1,3,153.716045147554,UP-S+
2,3,199.437521562952,UP-S+
3,3,201.012487437483,UP-S+
4,3,193.321812826208,UP-S+
5,3,163.985364160544,UP-S+
6,3,161.999530416908,UP-S+
7,3,173.07096574452,UP-S+
8,3,186.308894954176,UP-S+
9,3,170.318924884038,UP-S+
10,3,164.747154480849,UP-S+
11,3,200.683600921953,UP-S+
12,3,173.863085368981,UP-S+
13,3,156.826385029567,UP-S+
14,3,177.433480321718,UP-S+
15,3,195.932095643854,UP-S+
16,3,162.490146464446,UP-S+
17,3,195.919086817789,UP-S+
18,3,172.736982604919,UP-S+
19,3,163.671504141473,UP-S+
20,3,186.541539049273,UP-S+
